timestamp,topic,loco_id,event,phase,station,offset,commanded_pwm,actual_pwm,note,seq,source_line
2026-08-08T23:17:44-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Patio,-9,84,93,DERIVED_CRUISE_TO_ZONE,,31973
2026-08-08T23:17:45-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Patio,-8,76,85,DERIVED_CRUISE_TO_ZONE,,31982
2026-08-08T23:17:47-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Patio,-7,68,77,DERIVED_CRUISE_TO_ZONE,,31992
2026-08-08T23:17:49-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Patio,-6,60,69,DERIVED_CRUISE_TO_ZONE,,32005
2026-08-08T23:17:51-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Patio,-5,60,60,HOLD_60,,32015
2026-08-08T23:17:54-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Patio,-4,60,60,HOLD_60,,32029
2026-08-08T23:17:57-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Patio,-3,60,60,HOLD_60,,32040
2026-08-08T23:17:59-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Patio,-2,60,60,HOLD_60,,32053
2026-08-08T23:18:02-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Patio,-1,60,60,HOLD_60,,32064
2026-08-08T23:18:05-0700,ngr/loco/9950011/state/station,9950011,FINAL_APPROACH,2,Patio,0,60,60,LOCATION_TRIGGERED_TARGETS,,32078
2026-08-08T23:18:05-0700,ngr/loco/9950011/state/station,9950011,FINAL_TARGET,2,Patio,0,60,60,AT_CENTRE_ZONE_SPEED,,32079
2026-08-08T23:18:08-0700,ngr/loco/9950011/state/station,9950011,FINAL_TARGET,2,Patio,1,45,60,M_PLUS_1_FINAL_SPEED,,32090
2026-08-08T23:18:12-0700,ngr/loco/9950011/state/station,9950011,ZERO_RAMP,3,Patio,2,0,45,TRIGGER_M2_REACHED,,32109
2026-08-08T23:18:15-0700,ngr/loco/9950011/state/station,9950011,DWELL_BEGIN,4,Patio,2,0,0,FIXED_DWELL,,32122
2026-08-08T23:18:30-0700,ngr/loco/9950011/state/station,9950011,DWELL_COMPLETE,5,Patio,2,100,0,DEPART_TO_CRUISE,,32169
2026-08-08T23:18:35-0700,ngr/loco/9950011/state/station,9950011,DEPARTURE_COMPLETE,5,Patio,5,100,100,CLEARED_ZONE,,32196
2026-08-08T23:18:35-0700,ngr/loco/9950011/state/station,9950011,RESET,0,NONE,999,100,100,DEPARTED,,32197
2026-08-08T23:19:09-0700,ngr/loco/9950011/state/station,9950011,ARMED,1,Grillers,-12,100,100,RANGE_ARM_NORMAL,,32393
2026-08-08T23:19:10-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Grillers,-10,95,100,DERIVED_CRUISE_TO_ZONE,,32405
2026-08-08T23:19:11-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Grillers,-9,89,96,DERIVED_CRUISE_TO_ZONE,,32413
2026-08-08T23:19:12-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Grillers,-8,84,90,DERIVED_CRUISE_TO_ZONE,,32420
2026-08-08T23:19:14-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Grillers,-7,78,85,DERIVED_CRUISE_TO_ZONE,,32432
2026-08-08T23:19:15-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Grillers,-6,72,79,DERIVED_CRUISE_TO_ZONE,,32441
2026-08-08T23:19:17-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Grillers,-5,72,73,HOLD_60,,32450
2026-08-08T23:19:18-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Grillers,-4,72,72,HOLD_60,,32460
2026-08-08T23:19:20-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Grillers,-3,72,72,HOLD_60,,32469
2026-08-08T23:19:23-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Grillers,-2,72,72,HOLD_60,,32480
2026-08-08T23:19:25-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Grillers,-1,72,72,HOLD_60,,32493
2026-08-08T23:19:28-0700,ngr/loco/9950011/state/station,9950011,FINAL_APPROACH,2,Grillers,0,72,72,LOCATION_TRIGGERED_TARGETS,,32503
2026-08-08T23:19:28-0700,ngr/loco/9950011/state/station,9950011,FINAL_TARGET,2,Grillers,0,72,72,AT_CENTRE_ZONE_SPEED,,32504
