
PY          passxception:-fixed:+4}"}  "
FILE: /home/david/NGR/telemetry/runs/9950011_20260914_143544.log
TIME      MM   PWM   FIXED  SHADOW  DIFF
14:37:53   40    0   1949    1936   -13
14:37:54   40    0   1949    1936   -13
14:37:55   40    0   1949    1936   -13
14:37:56   40    0   1949    1936   -13
14:37:57   40    0   1949    1936   -13
14:37:58   40    0   1949    1936   -13
14:37:59   40    0   1949    1936   -13
14:38:00   40    0   1949    1936   -13
14:38:01   40    0   1949    1936   -13
14:38:02   40    0   1949    1936   -13
14:38:03   40    0   1949    1936   -13
14:38:04   40    0   1949    1936   -13
14:38:05   40    0   1949    1936   -13
14:38:06   40    0   1949    1936   -13
14:38:07   40    0   1949    1936   -13
14:38:08   40    0   1949    1936   -13
14:38:09   40    0   1949    1936   -13
14:38:10   40    0   1949    1936   -13
14:38:11   40    0   1949    1936   -13
14:38:12   40    0   1949    1936   -13
14:38:13   40    0   1949    1936   -13
14:38:14   40    0   1949    1936   -13
14:38:15   40    0   1949    1936   -13
14:38:16   40    0   1949    1936   -13
14:38:17   40    0   1949    1936   -13
14:38:18   40    0   1949    1936   -13
14:38:19   40    0   1949    1936   -13
14:38:20   40    0   1949    1936   -13
14:38:21   40    0   1949    1936   -13
14:38:22   40    0   1949    1936   -13
14:38:23   40    0   1949    1936   -13
14:38:24   40    0   1949    1936   -13
14:38:25   40    0   1949    1936   -13
14:38:26   40    0   1949    1936   -13
14:38:27   40    0   1949    1936   -13
14:38:28   40    0   1949    1936   -13
14:38:29   40    0   1949    1936   -13
14:38:30   40    0   1949    1936   -13
14:38:31   40    0   1949    1936   -13
14:38:32   40    0   1949    1936   -13
14:38:33   40    0   1949    1936   -13
14:38:34   40    0   1949    1936   -13
14:38:35   40    0   1949    1936   -13
14:38:36   40    0   1949    1936   -13
14:38:37   40    0   1949    1936   -13
14:38:38   40    0   1949    1936   -13
14:38:39   40    0   1949    1936   -13
14:38:40   40    0   1949    1936   -13
14:38:41   40    0   1949    1936   -13
14:38:42   40    0   1949    1936   -13
14:38:43   40    0   1949    1936   -13
14:38:44   40    0   1949    1936   -13
14:38:45   40    0   1949    1936   -13
14:38:46   40    0   1949    1936   -13
14:38:47   40    0   1949    1936   -13
14:38:48   40    0   1949    1936   -13
14:38:49   40    0   1949    1936   -13
14:38:50   40    0   1949    1936   -13
14:38:51   40    0   1949    1936   -13
14:38:52   40    0   1949    1936   -13
14:38:53   40    0   1949    1936   -13
14:38:54   40    0   1949    1936   -13
14:38:55   40    0   1949    1936   -13
14:38:56   40    0   1949    1936   -13
14:38:57   40    0   1949    1936   -13
14:38:58   40    0   1949    1936   -13
14:38:59   40    0   1949    1936   -13
14:39:00   40    0   1949    1936   -13
14:39:01   40    0   1949    1936   -13
14:39:02   40    0   1949    1936   -13
14:39:03   40    0   1949    1936   -13
14:39:04   40    0   1949    1936   -13
14:39:05   40    0   1949    1936   -13
14:39:06   40    0   1949    1936   -13
14:39:07   40    0   1949    1936   -13
14:39:08   40    0   1949    1936   -13
14:39:09   40    0   1949    1936   -13
14:39:10   40    0   1949    1936   -13
14:39:11   40    0   1949    1936   -13
14:39:12   40    0   1949    1936   -13
14:39:13   40    0   1949    1936   -13
14:39:14   40    0   1949    1936   -13
14:39:15   40    0   1949    1936   -13
14:39:16   40    0   1949    1936   -13
14:39:17   40    0   1949    1936   -13
14:39:18   40    0   1949    1936   -13
14:39:19   40    0   1949    1936   -13
14:39:20   40    0   1949    1936   -13
14:39:21   40    0   1949    1936   -13
14:39:22   40    0   1949    1936   -13
14:39:23   40    0   1949    1936   -13
14:39:24   40    0   1949    1936   -13
14:39:25   40    0   1949    1936   -13
14:39:26   40    0   1949    1936   -13
14:39:27   40    0   1949    1936   -13
14:39:28   40    0   1949    1936   -13
14:39:29   40    0   1949    1936   -13
14:39:30   40    0   1949    1936   -13
14:39:31   40    0   1949    1936   -13
14:39:32   40    0   1949    1936   -13
14:39:33   40    0   1949    1936   -13
14:39:34   40    0   1949    1936   -13
14:39:35   40    0   1949    1936   -13
14:39:36   40    0   1949    1936   -13
14:39:37   40    0   1949    1936   -13
14:39:38   40    0   1949    1936   -13
14:39:39   40    0   1949    1936   -13
14:39:40   40    0   1949    1936   -13
14:39:41   40    0   1949    1936   -13
14:39:42   40    0   1949    1936   -13
14:39:43   40    0   1949    1936   -13
14:39:44   40    0   1949    1936   -13
14:39:45   40    0   1949    1936   -13
14:39:46   40    0   1949    1936   -13
14:39:47   40    0   1949    1936   -13
14:39:48   40    0   1949    1936   -13
14:39:49   40    0   1949    1936   -13
14:39:50   40    0   1949    1936   -13
14:39:51   40    0   1949    1936   -13
14:39:52   40    0   1949    1936   -13
14:39:53   40    0   1949    1936   -13
14:39:54   40    0   1949    1936   -13
14:39:55   40    0   1949    1936   -13
14:39:56   40    0   1949    1936   -13
14:39:57   40    0   1949    1936   -13
14:39:58   40    0   1949    1936   -13
14:39:59   40    0   1949    1936   -13
14:40:00   40    0   1949    1936   -13
14:40:01   40    0   1949    1936   -13
14:40:02   40    0   1949    1936   -13
14:40:03   40    0   1949    1936   -13
14:40:04   40    0   1949    1936   -13
14:40:05   40    0   1949    1936   -13
14:40:06   40    0   1949    1936   -13
14:40:07   40    0   1949    1936   -13
14:40:08   40    0   1949    1936   -13
14:40:09   40    0   1949    1936   -13
14:40:10   40    0   1949    1936   -13
14:40:11   40    0   1949    1936   -13
14:40:12   40    0   1949    1936   -13
14:40:13   40    0   1949    1936   -13
14:40:14   40    0   1949    1936   -13
14:40:15   40    0   1949    1936   -13
14:40:16   40    0   1949    1936   -13
14:40:17   40    0   1949    1936   -13
14:40:18   40    0   1949    1936   -13
14:40:19   40    0   1949    1936   -13
14:40:20   40    0   1949    1936   -13
14:40:21   40    0   1949    1936   -13
14:40:22   40    0   1949    1936   -13
14:40:23   40    0   1949    1936   -13
14:40:24   40    0   1949    1936   -13
14:40:25   40    0   1949    1936   -13
14:40:26   40    0   1949    1936   -13
14:40:27   40    0   1949    1936   -13
14:40:28   40    0   1949    1936   -13
14:40:29   40    0   1949    1936   -13
14:40:30   40    0   1949    1936   -13
14:40:31   40    0   1949    1936   -13
14:40:32   40    0   1949    1936   -13
14:40:33   40    0   1949    1936   -13
14:40:34   40    0   1949    1936   -13
14:40:35   40    0   1949    1936   -13
14:40:36   40    0   1949    1936   -13
